home_team,away_team,goal_diff,goal_total,form_rate,title_chase,relegation_risk
Chiquimulilla,Quiché,1.0,2.34,0.33,0,0
Sacachispas,Coatepecano IB,0.33,1.67,0.33,0,0
Sudtirol U19,Renate U19,0.66,2.0,0.33,0,0
Mercadal,Poblense,-0.33,1.67,0.0,0,0
Greve,Næstved II,1.0,1.0,0.0,0,0
Buzanada,Estrella,0.34,3.0,0.67,0,0
Fredensborg BI,Karlslunde,0.67,2.67,0.33,0,0
Grenaa,Tarup-Paarup,0.34,1.0,0.0,0,0
Herbania,Los Llanos,0.0,1.34,0.0,0,0
Vejle,Viborg,-1.67,3.67,0.33,0,0
Lyngby,Sonderjyske,0.0,2.66,0.0,0,0
Werder Bremen II,St. Pauli II,0.0,4.0,0.33,0,0
Roskilde,HB Koge,0.33,1.67,0.0,0,0
PSS Sleman,Dewa United,-0.67,3.33,0.33,0,0
Legia Warszawa II,Stomil Olsztyn,2.0,3.34,0.67,0,0
Zagłębie Lubin II,Kalisz,0.67,1.33,0.33,0,0
Gørslev,AB Tårnby,-0.33,2.33,0.0,0,0
Slovan Liberec U19,Sigma Olomouc U19,-0.33,3.67,0.67,0,0
Baku Sportinq,Qaradağ Lökbatan,0.67,0.67,0.0,0,0
Paganese,Atletico Uri,-0.33,1.67,0.33,0,0
Sarrabus Ogliastra,CynthiAlbalonga,1.0,2.34,0.33,0,0
Difai Ağsu,Zaqatala,-0.67,4.67,0.33,0,0
Raadsan,Elman,-0.67,3.33,0.33,0,0
Chievo,AC Magenta,0.0,2.66,0.33,0,0
Matera,Angri Calcio,1.33,2.67,0.0,0,0
Sambenedettese,Termoli Calcio,0.34,3.0,0.67,0,0
Virtus Francavilla,Nocerina,0.33,4.33,0.33,0,0
Trastevere,Latte Dolce,0.67,3.33,0.33,0,0
Siracusa,Paternò,0.33,2.33,0.67,0,0
Campodarsego,Real Calepina,-1.0,3.0,0.33,0,0
Chieri,Sanremese,0.67,1.33,0.0,0,0
Forli,Pistoiese,2.0,3.34,1.0,0,0
Olbia,Sarnese,0.0,2.66,0.33,0,0
Gavorrano,Orvietana Calcio,-0.66,2.0,0.33,0,0
