fixture_id,league_id,league_name,home_team,away_team,home_goals,away_goals,xg_home,xg_away,goal_diff,goal_total,match_result,kg_var,over_2_5,over_3_5,score_label
1208021,39,Premier League,Manchester United,Fulham,1,0,0.0,0.0,1,1,MS1,0,0,0,1-0
1208022,39,Premier League,Ipswich,Liverpool,0,2,0.0,0.0,-2,2,MS2,0,0,0,0-2
1208025,39,Premier League,Newcastle,Southampton,1,0,0.0,0.0,1,1,MS1,0,0,0,1-0
1208023,39,Premier League,Arsenal,Wolves,2,0,0.0,0.0,2,2,MS1,0,0,0,2-0
1208024,39,Premier League,Everton,Brighton,0,3,0.0,0.0,-3,3,MS2,0,1,0,0-3
1208026,39,Premier League,Nottingham Forest,Bournemouth,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208027,39,Premier League,West Ham,Aston Villa,1,2,0.0,0.0,-1,3,MS2,1,1,0,1-2
1208028,39,Premier League,Brentford,Crystal Palace,2,1,0.0,0.0,1,3,MS1,1,1,0,2-1
1208029,39,Premier League,Chelsea,Manchester City,0,2,0.0,0.0,-2,2,MS2,0,0,0,0-2
1208030,39,Premier League,Leicester,Tottenham,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208033,39,Premier League,Brighton,Manchester United,2,1,0.0,0.0,1,3,MS1,1,1,0,2-1
1208035,39,Premier League,Fulham,Leicester,2,1,0.0,0.0,1,3,MS1,1,1,0,2-1
1208038,39,Premier League,Southampton,Nottingham Forest,0,1,0.0,0.0,-1,1,MS2,0,0,0,0-1
1208039,39,Premier League,Tottenham,Everton,4,0,0.0,0.0,4,4,MS1,0,1,1,4-0
1208037,39,Premier League,Manchester City,Ipswich,4,1,0.0,0.0,3,5,MS1,1,1,1,4-1
1208034,39,Premier League,Crystal Palace,West Ham,0,2,0.0,0.0,-2,2,MS2,0,0,0,0-2
1208032,39,Premier League,Aston Villa,Arsenal,0,2,0.0,0.0,-2,2,MS2,0,0,0,0-2
1208031,39,Premier League,Bournemouth,Newcastle,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208040,39,Premier League,Wolves,Chelsea,2,6,0.0,0.0,-4,8,MS2,1,1,1,2-6
1208036,39,Premier League,Liverpool,Brentford,2,0,0.0,0.0,2,2,MS1,0,0,0,2-0
1208041,39,Premier League,Arsenal,Brighton,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208044,39,Premier League,Everton,Bournemouth,2,3,0.0,0.0,-1,5,MS2,1,1,1,2-3
1208046,39,Premier League,Leicester,Aston Villa,1,2,0.0,0.0,-1,3,MS2,1,1,0,1-2
1208042,39,Premier League,Brentford,Southampton,3,1,0.0,0.0,2,4,MS1,1,1,1,3-1
1208045,39,Premier League,Ipswich,Fulham,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208049,39,Premier League,Nottingham Forest,Wolves,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208050,39,Premier League,West Ham,Manchester City,1,3,0.0,0.0,-2,4,MS2,1,1,1,1-3
1208048,39,Premier League,Newcastle,Tottenham,2,1,0.0,0.0,1,3,MS1,1,1,0,2-1
1208043,39,Premier League,Chelsea,Crystal Palace,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208047,39,Premier League,Manchester United,Liverpool,0,3,0.0,0.0,-3,3,MS2,0,1,0,0-3
1208058,39,Premier League,Southampton,Manchester United,0,3,0.0,0.0,-3,3,MS2,0,1,0,0-3
1208055,39,Premier League,Fulham,West Ham,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208056,39,Premier League,Liverpool,Nottingham Forest,0,1,0.0,0.0,-1,1,MS2,0,0,0,0-1
1208057,39,Premier League,Manchester City,Brentford,2,1,0.0,0.0,1,3,MS1,1,1,0,2-1
1208053,39,Premier League,Brighton,Ipswich,0,0,0.0,0.0,0,0,MS0,0,0,0,0-0
1208054,39,Premier League,Crystal Palace,Leicester,2,2,0.0,0.0,0,4,MS0,1,1,1,2-2
1208052,39,Premier League,Aston Villa,Everton,3,2,0.0,0.0,1,5,MS1,1,1,1,3-2
1208051,39,Premier League,Bournemouth,Chelsea,0,1,0.0,0.0,-1,1,MS2,0,0,0,0-1
1208059,39,Premier League,Tottenham,Arsenal,0,1,0.0,0.0,-1,1,MS2,0,0,0,0-1
1208060,39,Premier League,Wolves,Newcastle,1,2,0.0,0.0,-1,3,MS2,1,1,0,1-2
1208070,39,Premier League,West Ham,Chelsea,0,3,0.0,0.0,-3,3,MS2,0,1,0,0-3
1208064,39,Premier League,Fulham,Newcastle,3,1,0.0,0.0,2,4,MS1,1,1,1,3-1
1208066,39,Premier League,Liverpool,Bournemouth,3,0,0.0,0.0,3,3,MS1,0,1,0,3-0
1208068,39,Premier League,Southampton,Ipswich,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208065,39,Premier League,Leicester,Everton,1,1,0.0,0.0,0,2,MS0,1,0,0,1-1
1208069,39,Premier League,Tottenham,Brentford,3,1,0.0,0.0,2,4,MS1,1,1,1,3-1
1208061,39,Premier League,Aston Villa,Wolves,3,1,0.0,0.0,2,4,MS1,1,1,1,3-1
1208063,39,Premier League,Crystal Palace,Manchester United,0,0,0.0,0.0,0,0,MS0,0,0,0,0-0
1208062,39,Premier League,Brighton,Nottingham Forest,2,2,0.0,0.0,0,4,MS0,1,1,1,2-2
1208067,39,Premier League,Manchester City,Arsenal,2,2,0.0,0.0,0,4,MS0,1,1,1,2-2
